id	page No.	title	romanlized	google translated	duration
196	260	(က) သတိပဋ္ဌာန် လေးပါး ခွဲပုံ	(ka) satipaṭṭhānya le”pā” khhaဲpuṃ	(A) The division of the four establishments of mindfulness	0
197	260	( ခ ) ဈာန်လမ်းသာ ဖြစ်သည်	( kha ) jhānyalamya”sā phaြcyasaññya	(B) It is only Jhan Road	1
198	261	( ဂ ) အဿာသ-ပဿာသ (၂) မျိုး	( ga ) assāsa-passāsa (2) maျို”	(C) Asatha: Two kinds of Asatha	1
199	262	(ဃ) အရောင်နှင့် လက္ခဏာကို နှလုံးမသွင်းရ	(gha) aroငyanaှင’ya lakkhaṇākiု naှluṃ”mashaငya”ra	(D) Do not pay attention to color and signs	1
200	263	အကြောင်းကား ဤသို့ ဖြစ်၏	akaြောငya”kā” īsiု’ phaြcya၏	Because	0
201	263	ပရမတ္ထသစ္စာနယ်၌ အရှည် အတို မရှိ	paramatthasaccānayya၌ araှññya atiု maraှိ	There is no short or long in the realm of Paramatman	2
202	265	သာမညလက္ခဏာကို နှလုံးမသွင်းသင့်ပုံ	sāmaññalakkhaṇākiု naှluṃ”mashaငya”saင’yapuṃ	How to not pay attention to common signs	0
203	265	သိထားသင့်သော အကြောင်းပြချက်	sithā”saင’yaso akaြောငya”paြkhaျkya	Reasons to know	2
204	267	ခန္ဓာငါးပါးဟူသည် ဘာလဲ¿	khandhāငါ”pā”hūsaññya bhālaဲ¿	What are the Five Elements?	1
205	268	အဿာသ-ပဿာသ	assāsa-passāsa	အ⁇ သ - ပ⁇ ာ သ	0
206	268	အဿာသ-ပဿာသ ကမ္မိကပုဂ္ဂိုလ်	assāsa-passāsa kammikapuggiုlya	Atsatha: A person who is pious	1
207	269	ဈာနကမ္မိကပုဂ္ဂိုလ်	jhānakammikapuggiုlya	Jnana Kami person	2
208	271	မဟာဋီကာ၏ အဆိုအမိန့်	mahāṭīkā၏ achiုamina’ya	Mahathika's statement	2
209	273	ပညတ်-ပရမတ်	paññatya-paramatya	Law: Paramatman	1
210	274	(င) နိမိတ် (၃) မျိုး	(င) nimitya (3) maျို”	(E) Three signs	0
211	274	ပရိကမ္မနိမိတ်	parikammanimitya	The sign of Parikamma	1
212	275	(စ) အာနာပါနဿတိသမာဓိ၏ ညစ်နွမ်းကြောင်း ဥပက္ကိလေသ (၁၈) ပါး	(ca) ānāpānassatisamādhi၏ ññacyanhamya”kaြောငya” upakkilesa (18) pā”	F	0
213	275	ပထမ ဆက္က - အပြစ် (၆) ပါး	pathama chakka - apaြcya (6) pā”	First, the six sins	1
214	276	အဿာသ-ပဿာသ အယူအဆ	assāsa-passāsa ayūacha	Astha - The concept of paradise	1
215	277	ဒုတိယ ဆက္က - အပြစ် (၆) ပါး	dutiya chakka - apaြcya (6) pā”	Second, the six sins	1
216	278	တတိယ ဆက္က - အပြစ် (၆) ပါး	tatiya chakka - apaြcya (6) pā”	Third: Six sins	1
217	279	(ဆ) သိအောင် အားထုတ်ရမည့် အချက်	(cha) siaောငya ā”thutyaramañña’ya akhaျkya	(G) The point to make an effort to know	1
218	280	အာနာပါနလုပ်ငန်းခွင်သို့ ချဉ်းကပ်ပုံ နှစ်မျိုး	ānāpānalupyaငnya”khhaငyasiု’ khaျñya”kapyapuṃ naှcyamaျို”	Two approaches to နာnနာpနna's work	2
219	282	မေးမြန်းဖွယ်ရာ အချက်များ	me”maြnya”phhayyarā akhaျkyamaျာ”	Questions to ask	1
220	283	ထိုသို့ အားထုတ်ကောင်းပါသလား	thiုsiု’ ā”thutyakoငya”pāsalā”	Is that worth the effort?	1
221	284	ထပ်မံ မေးမြန်းဖွယ် အချက်တစ်ရပ်	thapyamaṃ me”maြnya”phhayya akhaျkyatacyarapya	Another question to ask	1
222	285	သမာပတ်နှင့် ဝိပဿနာ	samāpatyanaှင’ya vipassanā	Integrity and Vipassana	2
223	287	စမ်းသပ်ကြည့်ပါ	camya”sapyakaြñña’yapā	Give it a try	1
224	288	ပဉ္စသန္ဓိက = အဆစ်အပိုင်း ငါးရပ်	pañcasandhika = achacyaapiုငya” ငါ”rapya	Five joints = five joints	1
225	289	နှလုံးသွင်းပုံ အစီအစဉ်	naှluṃ”shaငya”puṃ acīacañya	Heart program	1
226	290	ဂဏနာ = ရေတွက်နည်း	gaṇanā = rethakyanaññya”	Numbers = counting methods	1
227	291	စပါးခြင်သမား ရေတွက်နည်း	capā”khaြငyasamā” rethakyanaññya”	How to calculate the number of paddy mosquitoes?	2
228	293	နွားကျောင်းသား ရေတွက်နည်း	nhā”kaျောငya”sā” rethakyanaññya”	How to count cowboys?	1
229	294	ဘာ၀နာပြည့်စုံအောင် ကျင့်နည်း	bhā0nāpaြñña’yacuṃaောငya kaျင’yanaññya”	How to practice meditation?	1
230	295	အဘယ်မျှကြာအောင် ရေတွက်ရမှာလဲ¿	abhayyamaျှkaြာaောငya rethakyaramaှာlaဲ¿	How long does it take to count?	0
231	295	၁။ အရှည် -2． အတို	1． araှññya -2． atiု	1. Length -2． Short	0
232	295	ပဋိသမ္ဘိဒါမဂ်ပါဠိတော်	paṭisambhidāmagyapāḷitoya	The Pali Canon	3
234	298	ပကတိသော ဝင်သက်လေ-ထွက်သက်လေမှ ဘာ၀နာစိတ် ဆုတ်နစ်သွားပုံ	pakatiso vaငyasakyale-thhakyasakyalemaှ bhā0nācitya chutyanacyashā”puṃ	Breathing in and out of the body	1
235	299	ဥပေက္ခာ ဖြစ်ပုံ-တည်ပုံ	upekkhā phaြcyapuṃ-taññyapuṃ	Ignorance - Structure	0
236	299	ဒီဃံ (ရဿံ) အဿာသပဿာသာ ကာယော	dīghaṃ (rassaṃ) assāsapassāsā kāyo	I'm not sure if I'm going to be able to do that	1
237	300	ဥပဋ္ဌာနံ သတိ = သတိထင်မှု	upaṭṭhānaṃ sati = satithaငyamaှု	Mindfulness = mindfulness	0
238	300	အနုပဿနာ ဉာဏံ = အဖန်ဖန်ရှုခြင်းသည် ဉာဏ် မည်၏	anupassanā ñāṇaṃ = aphanyaphanyaraှုkhaြငya”saññya ñāṇya maññya၏	Anupasana Wisdom = Meditation is wisdom.	1
239	301	ကာယသည် ဥပဋ္ဌာန မည်၏၊ သတိ မမည်	kāyasaññya upaṭṭhāna maññya၏， sati mamaññya	The body is the foundation. I will not be careful	1
240	302	တံ ကာယံ အနုပဿတိ	taṃ kāyaṃ anupassati	တံ ကာ ယံ အ ပတ္ တိ	0
241	302	အရေးကြီးလှသော အယူအဆတစ်ရပ်	are”kaြီ”laှso ayūachatacyarapya	An important concept	2
242	304	ပဋိသမ္ဘိဒါမဂ်ပါဠိတော်၏ မိန့်ဆိုတော်မူချက်	paṭisambhidāmagyapāḷitoya၏ mina’yachiုtoyamūkhaျkya	Speech of the Pratibhidamag Pali	1
243	305	လုပ်ငန်းခွင် aUရှသို့ဆက်ရန်	lupyaငnya”khhaငya aUraှsiု’chakyaranya	Continue to Workplace	1
244	306	သဗ္ဗကာယ ပဋိသံဝေဒီ	sabbakāya paṭisaṃvedī	I'm not sure if I'm going to be able to do that	1
245	307	ပဋိသမ္ဘိဒါမဂ်ပါဠိတော်၏ မိန့်ဆိုတော်မူချက်	paṭisambhidāmagyapāḷitoya၏ mina’yachiုtoyamūkhaျkya	Speech of the Pratibhidamag Pali	1
246	308	သဗ္ဗကာယပဋိသံဝေဒီ-ပုဒ်ကို ဓာတ်ခွဲပုံ	sabbakāyapaṭisaṃvedī-pudyakiု dhātyakhhaဲpuṃ	Abhidhamma: How to break a syllable	2
247	310	သိက္ခတိ - ထည့်၍ ဟောရခြင်းအကြောင်း	sikkhati - thañña’ya၍ horakhaြငya”akaြောငya”	Sikkhati: About preaching	1
250	311	အဿသိဿာမိ ပဿသိဿာမိ-ဟု အနာဂတ်ဝိဘတ်ဖြင့် ဟောတော်မူရခြင်း၏ အကြောင်းရင်း	assasissāmi passasissāmi-hu anāgatyavibhatyaphaြင’ya hotoyamūrakhaြငya”၏ akaြောငya”raငya”	The reason why he foretold in the future vibhaga:	1
251	312	အနုဗန္ဓနာနည်း	anubandhanānaññya”	Anubandana method	3
252	315	ပင်္ဂုလောပမာ = သူဆွံ့ ဥပမာ	paṅgulopamā = sūchhaṃ’ upamā	For example, he is paralyzed	1
253	316	ဒေါဝါရိကူပမာ = တံခါးစောင့် ဥပမာ	dovārikūpamā = taṅkhā”coင’ya upamā	For example, Dawari Kupa = gatekeeper, for example	0
254	316	ကကစူပမာ = လွှ ဥပမာ	kakacūpamā = lhaှ upamā	For example = saw	3
255	319	ပဿမ္ဘယံ = ငြိမ်းအောင်ကျင့်ပုံ	passambhayaṃ = ငြိmya”aောငyakaျင’yapuṃ	Pathambayan = how to practice peace	1
256	320	ဩဠာရိက - သုခုမ - ပဿဒ္ဓိ	oḷārika - sukhuma - passaddhi	ဠ ရိ က က - ခု ခု - - ပ ပ ဒ္ ဒ္ ဓ ဓ။	2
257	322	အကြောင်းပြချက်	akaြောငya”paြkhaျkya	the reason	1
258	323	ဩဠာရိက - သုခုမ	oḷārika - sukhuma	ဠ ရိ က က - - သု ခု ခု မ	0
259	323	ဒီဃဘာဏက-သံယုတ္တဘာဏကတို့၏ အဆို	dīghabhāṇaka-saṃyuttabhāṇakatiု’၏ achiု	Diga Bankaka: The statement of Thanyuttabanaka	1
260	324	မဇ္ဈိမဘာဏကတို့၏ အဆို	majjhimabhāṇakatiု’၏ achiု	According to Mizzima Bank	0
262	324	ခပ်သိမ်းသော မထေရ်မြတ်တို့၏ တူညီသောဝါဒ	khapyasimya”so matheryamaြtyatiု’၏ tūññīsovāda	The same doctrine of all the saints	0
263	324	ဝိပဿနာပိုင်း၌ အဆင့်ဆင့် ငြိမ်းပုံ	vipassanāpiုငya”၌ achaင’yachaင’ya ငြိmya”puṃ	Step by step in Vipassana	2
264	326	ပဋိသမ္ဘိဒါမဂ် ပါဠိတော်၏ ရှင်းလင်းချက်	paṭisambhidāmagya pāḷitoya၏ raှငya”laငya”khaျkya	Explanation of the Pratibhidamag Pali	4
265	330	ထပ်မံ ရှင်းလင်းချက်များ	thapyamaṃ raှငya”laငya”khaျkyamaျာ”	Further explanations	0
266	330	ဘာ၀နာဖြစ်ပုံ = ကောင်းစွာ ဆောင်ထားနိုင်ပုံ	bhā0nāphaြcyapuṃ = koငya”chā choငyathā”niုငyapuṃ	Meditation = how to carry it well	1
267	331	ရိုသေလေးစားစွာ လိုက်နာရမည်	riုsele”cā”chā liုkyanāramaññya	Must be obeyed with respect	1
268	332	ဘာ၀နာလုပ်ငန်းခွင် အဆင့်ဆင့်	bhā0nālupyaငnya”khhaငya achaင’yachaင’ya	Meditation practice steps	1
269	333	သတိပြုရမည့် အချက်တစ်ရပ်	satipaြုramañña’ya akhaျkyatacyarapya	One thing to keep in mind	0
270	333	ကြေးခွက်တီးနှက်သည့် ဥပမာ	kaြေ”khhakyatī”naှkyasañña’ya upamā	An example of a percussion instrument	2
272	335	အခြားကမ္မဋ္ဌာန်းများနှင့် မတူသော ထူးခြားချက်	akhaြာ”kammaṭṭhānya”maျာ”naှင’ya matūso thū”khaြာ”khaျkya	What makes it different from other Kamma Dhammas?	0
273	335	ဣရိယာပုထ် ပြင်သင့်-မပြင်သင့်	iriyāputhya paြငyasaင’ya-mapaြငyasaင’ya	Adjectives should be fixed or not	1
274	336	အသစ်အသစ် ဖြစ်ရပုံ	asacyaasacya phaြcyarapuṃ	How to be new	0
275	336	အကြောင်း ဥပါယ်	akaြောငya” upāyya	About	1
276	337	အဿာသပဿာသ မရှိသော ပုဂ္ဂိုလ်များ	assāsapassāsa maraှိso puggiုlyamaျာ”	People who do not have a sense of humor	2
277	339	ဥဂ္ဂဟနိမိတ် - ပဋိဘာဂနိမိတ်	uggahanimitya - paṭibhāganimitya	The sign of Uggah - the sign of Prabhupada	1
278	340	ဘာ၀နာသညာ ကွဲပြားမှု	bhā0nāsaññā khaဲpaြာ”maှု	Differences in meditation	1
279	341	နဝတ္တဗ္ဗဓမ္မာရုံ	navattabbadhammāruṃ	Nawattabha Temple	2
280	343	ပြည့်စုံရမည့် တရားသုံးပါး	paြñña’yacuṃramañña’ya tarā”suṃ”pā”	Three Dhammas to be Fulfilled	0
282	343	ဒီဃဘာဏက မဇ္ဈိမဘာဏကတို့၏ ဆိုဆုံးမချက်	dīghabhāṇaka majjhimabhāṇakatiု’၏ chiုchuṃ”makhaျkya	This is the advice of Mizzima Bank	1
283	344	ဌပနာခေတ်သို့ ဆိုက်ပြီ	ṭhapanākhetyasiု’ chiုkyapaြီ	It has reached the age of meditation	2
285	346	တစ်ခုတည်းသော ဘာ၀နာစိတ်၏ အာရုံ ဖြစ်နိုင်ပုံ	tacyakhutaññya”so bhā0nācitya၏ āruṃ phaြcyaniုငyapuṃ	How to be the only meditator	1
286	347	အခက်အခဲများနှင့် ရင်ဆိုင်ရပုံ	akhakyaakhaဲmaျာ”naှင’ya raငyachiုငyarapuṃ	How to face difficulties	1
287	348	နိမိတ်ဝေးကွာနေသော်	nimityave”khānesoya	When the sign is far away	1
288	349	အရောင်နှင့် လက္ခဏာကို နှလုံးမသွင်းရ	aroငyanaှင’ya lakkhaṇākiု naှluṃ”mashaငya”ra	Do not pay attention to color and signs	2
289	351	သပ္ပါယ အသပ္ပါယ (၇) ပါး	sappāya asappāya (7) pā”	There are seven things that are good for you	0
290	351	၁။ အာဝါသ = နေရာ	1． āvāsa = nerā	1. Avatar = place	1
291	352	၂။ ဂေါစရဂါမ = ဆွမ်းခံရွာ	2． gocaragāma = chhamya”khaṃrhā	2. Gosaragama = alms village	0
292	352	၃။ ဘဿ = စကားပြောမှု	3． bhassa = cakā”paြောmaှု	3. Bhasa = conversation	0
293	352	တိရစ္ဆာနကထာသုတ္တန်	tiracchānakathāsuttanya	Animal Sutta	3
294	355	၄။ သပ္ပါယပုဂ္ဂလ - အသပ္ပါယပုဂ္ဂလ	4． sappāyapuggala - asappāyapuggala	4. Sappaya person - Sappaya person	0
295	355	၅။ ဘောဇန = အစာအာဟာရ	5． bhojana = acāāhāra	5. Food = food	0
296	355	၆။ ဥတု = ရာသီဥတု	6． utu = rāsīutu	6. Climate = weather	1
297	356	၇။ ဣရိယာပုထ်	7． iriyāputhya	7. Iriyaputta	1
298	357	အပ္ပနာကောသလ္လ တရား (၁၀) ပါး	appanākosalla tarā” (10) pā”	The Ten Precepts of Appana Kosala	0
299	357	၁။ ဝတ္ထုကို သန့်ရှင်းအောင် ပြုခြင်း	1． vatthukiု sana’yaraှငya”aောငya paြုkhaြငya”	1. Purification of the object	1
300	358	၂။ ဣန္ဒြေ ညီမျှအောင်ပြုခြင်း	2． indaြေ ññīmaျှaောငyapaြုkhaြငya”	2. Equilibrium	2
301	360	သဒ္ဓါလွန်နေသော်	saddhālhanyanesoya	When you lose your faith	1
302	361	သဒ္ဓိန္ဒြေ ဖြစ်အောင် နှလုံးမသွင်းရ	saddhindaြေ phaြcyaaောငya naှluṃ”mashaငya”ra	Do not pay attention to the concept of fertility	1
303	362	ဝီရိယ လွန်နေသော်	vīriya lhanyanesoya	When you are too diligent	1
304	363	အရှင်ဝက္ကလိမထေရ်	araှငyavakkalimatherya	Ashin Vakkalimathar	1
305	364	အရှင်သောဏမထေရ်	araှငyasoṇamatherya	I'm not sure what to do	0
306	364	သူတော်ကောင်းတို့၏ ချီးမွမ်းသံ	sūtoyakoငya”tiု’၏ khaျီ”mhamya”saṃ	Praise of the righteous	1
308	365	သဒ္ဓါလွန်၍ ပညာအားနည်းသော် - ပညာလွန်၍ သဒ္ဓါအားနည်းသော်	saddhālhanya၍ paññāā”naññya”soya - paññālhanya၍ saddhāā”naññya”soya	When faith is weak beyond wisdom - When wisdom is weak beyond faith	1
309	366	သမာဓိ နှင့် ဝီရိယ	samādhi naှင’ya vīriya	Integrity and diligence	0
310	366	သမာဓိကမ္မိက နှင့် ဝိပဿနာကမ္မိက	samādhikammika naှင’ya vipassanākammika	Samadhi Kamma and Vipassana Kamma	2
311	368	သတိ ¿	sati ¿	Warning 	3
312	371	၃။ နိမိတ္တကောသလ္လ	3． nimittakosalla	3. Nimitta Kosalla	0
313	371	စိတ္တေကဂ္ဂတာ နိမိတ် နှစ်မျိုး	cittekaggatā nimitya naှcyamaျို”	Two Signs of Mindfulness	1
314	372	ကောသလ္လတရား သုံးပါး	kosallatarā” suṃ”pā”	The Three Noble Truths	1
315	373	၄။ စိတ်ဓာတ်ကို မြှင့်တင်ပေးပါ	4． cityadhātyakiု maြှင’yataငyape”pā	4. Raise your spirits	0
316	373	အဂ္ဂိသုတ္တန် ကောက်နုတ်ချက်	aggisuttanya kokyanutyakhaျkya	Excerpt from Aggi Sutta	1
317	374	အာဟာရသုတ္တန် ကောက်နုတ်ချက်	āhārasuttanya kokyanutyakhaျkya	Excerpts from Nutrition	2
318	376	သတိသမ္ဗောဇ္ဈင်	satisambojjhaငya	The enlightenment factor of mindfulness	1
319	377	ဓမ္မဝိစယ သမ္ဗောဇ္ဈင်	dhammavicaya sambojjhaငya	The enlightenment factor of Dhamma-visaya	1
320	378	ဝီရိယသမ္ဗောဇ္ဈင်	vīriyasambojjhaငya	The enlightenment factor of diligence	1
321	379	ပီတိသမ္ဗောဇ္ဈင်	pītisambojjhaငya	The enlightenment factor of rapture	1
322	380	သတိသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရား (၄)ပါး	satisambojjhaငya phaြcyakaြောငya”tarā” (4)pā”	The Four Noble Truths of the Enlightenment Factor of Mindfulness	1
323	381	သမ္ပဇဉ် လေးမျိုး	sampajañya le”maျို”	The Four Noble Truths	2
324	383	ဓမ္မဝိစယသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်း တရား (၇) ပါး	dhammavicayasambojjhaငya phaြcyakaြောငya” tarā” (7) pā”	The Seven Dhammas of the Enlightenment Factor of Dhamma and Visaya	1
325	384	သမာဓိနှင့် ပညာ	samādhinaှင’ya paññā	Integrity and Wisdom	1
326	385	ကလျာဏမိတ္တသုတ္တန် ကောက်နုတ်ချက်	kalaျာṇamittasuttanya kokyanutyakhaျkya	Excerpt from Kalyana Mitta Sutta	4
327	389	ဝီရိယသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရား (၁၁)ပါး	vīriyasambojjhaငya phaြcyakaြောငya”tarā” (11)pā”	The 11 Dhammas of the Enlightenment Factor of Viriya	2
328	391	အယျမိတ္တမထေရ်မြတ်ကြီး	ayaျmittamatheryamaြtyakaြီ”	My dear friend	1
329	392	အနုဋီကာ၌ လာရှိသော အဖွင့်တစ်မျိုး	anuṭīkā၌ lāraှိso aphhaင’yatacyamaျို”	A kind of opening in Anutika	0
330	392	တောင်မြို့ဆရာတော်၏ အယူအဆ	toငyamaြို’charātoya၏ ayūacha	The idea of ​​the Southern Sayadaw	6
331	398	သံယုတ်ဋီကာ၏ မှာထားချက်	saṃyutyaṭīkā၏ maှာthā”khaျkya	Order of the Evil One	0
332	398	မဟာဋီကာ၏ မှာထားချက်တစ်ရပ်	mahāṭīkā၏ maှာthā”khaျkyatacyarapya	An order from Mahathir	1
333	399	ပီတိသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရား (၁၁) ပါး	pītisambojjhaငya phaြcyakaြောငya”tarā” (11) pā”	The 11 Dhammas of the Enlightenment Factor of Happiness	3
334	402	၅။ စိတ်ဓာတ်ကို နှိပ်ကွပ်ပေးပါ	5． cityadhātyakiု naှိpyakhapyape”pā	5. Suppress the spirit	0
335	402	အဂ္ဂိသုတ္တန် ကောက်နုတ်ချက်	aggisuttanya kokyanutyakhaျkya	Excerpt from Aggi Sutta	1
336	403	ပဿဒ္ဓိသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရား	passaddhisambojjhaငya phaြcyakaြောငya”tarā”	The Dhamma of the Enlightenment Factor of Peace	0
337	403	သမာဓိသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရား	samādhisambojjhaငya phaြcyakaြောငya”tarā”	The Dhamma of the Enlightenment Factor of Integrity	1
338	404	ဥပေက္ခာသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရား	upekkhāsambojjhaငya phaြcyakaြောငya”tarā”	The Dhamma of the Enlightenment Factor of Ecstasy	0
339	404	အဋ္ဌကထာအဖွင့်များ	aṭṭhakathāaphhaင’yamaျာ”	Opening of the eighth stanza	1
340	405	ယောနိသော မနသိကာရ	yoniso manasikāra	Vaginal incontinence	0
341	405	သမထနိမိတ်ဟူသည်	samathanimityahūsaññya	It is a sign of unity	1
342	406	ဥပေက္ခာသမ္ဗောဇ္ဈင်၏ တည်ရာတရား	upekkhāsambojjhaငya၏ taññyarātarā”	The Dhamma of the enlightenment factor of equanimity	0
343	406	မဇ္ဈတ္တာကာရ = အလယ်အလတ် အခြင်းအရာ	majjhattākāra = alayyaalatya akhaြငya”arā	M ဈdh ကာk ကာra = intermediate state	0
344	406	အထူးမှာထားချက်	athū”maှာthā”khaျkya	Special order	1
345	407	လိုရင်းမှတ်သားရန်	liုraငya”maှtyasā”ranya	Note:	0
346	407	ပဿဒ္ဓိသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရား (၇)ပါး	passaddhisambojjhaငya phaြcyakaြောငya”tarā” (7)pā”	The Seven Dhammas of the Enlightenment Factor of Peace	3
347	410	သမာဓိသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရား (၁၁)ပါး	samādhisambojjhaငya phaြcyakaြောငya”tarā” (11)pā”	The 11 Dhammas of the Enlightenment Factor of Integrity	1
348	411	နိဒဿနနည်းဟု မှတ်ပါ	nidassananaññya”hu maှtyapā	Think of it as a method	0
349	411	အထူးမှာထားချက်	athū”maှာthā”khaျkya	Special order	3
350	414	သဒ္ဓါ၏ စွမ်းအင်	saddhā၏ chamya”aငya	The power of faith	0
351	414	သံဝေဂဝတ္ထု (၈) ပါး	saṃvegavatthu (8) pā”	Eight Sanctuary Stories	1
352	415	ပါဠိတော်နှင့် အဋ္ဌကထာ	pāḷitoyanaှင’ya aṭṭhakathā	The Pali Canon and the Eightfold Path	4
353	419	အထူးသတိပြုရမည့် အချက်တစ်ရပ်	athū”satipaြုramañña’ya akhaျkyatacyarapya	One thing to keep in mind	0
354	419	ဥပေက္ခာသမ္ဗောဇ္ဈင် ဖြစ်ကြောင်းတရားငါးပါး	upekkhāsambojjhaငya phaြcyakaြောငya”tarā”ငါ”pā”	The Five Elements of the Enlightenment Factor of Ecstasy	3
355	422	ရရှိနိုင်သော အကျိုးတရား	raraှိniုငyaso akaျို”tarā”	Benefits Available	1
356	423	နိမိတ္တာဘိမုခပဋိပါဒန	nimittābhimukhapaṭipādana	Nimitta Bimukha Padipada	3
357	426	အာနာပါနနိမိတ်ကို ကစားသင့်ပါသလား¿ တိုးပွားစေသင့်ပါသလား¿	ānāpānanimityakiု kacā”saင’yapāsalā”¿ tiု”phā”cesaင’yapāsalā”¿	Should I play Anapana omen? Should I increase it?	1
358	427	ပဌမဇ္ဈာနကထာ	paṭhamajjhānakathā	The first verse	1
359	428	ဥပစာရသမာဓိဇော	upacārasamādhijo	For example, Samadhi Zaw	0
360	428	ဈာန်ဇောတို့၏ အမည်များ	jhānyajotiု’၏ amaññyamaျာ”	Names of Jhan Zaw	2
361	430	စိတ္တက္ခဏတစ်ချက်သာ	cittakkhaṇatacyakhaျkyasā	Just a moment	0
362	430	ပထမဈာန်သမာဓိ	pathamajhānyasamādhi	The first jhana samadhi	1
363	431	နီ၀ရဏတရား ငါးပါး	nī0raṇatarā” ငါ”pā”	The Five Precepts	1
364	432	အထူးမှတ်သားရန်	athū”maှtyasā”ranya	Note:	0
365	432	ဈာန်အင်္ဂါ ငါးပါး	jhānyaaṅgā ငါ”pā”	The Five Elements	2
366	434	သမာဓိနှစ်မျိုးတို့၏ ထူးခြားချက်	samādhinaှcyamaျို”tiု’၏ thū”khaြာ”khaျkya	What is the difference between the two?	1
367	435	သတိပြုသင့်ပုံ	satipaြုsaင’yapuṃ	How to be careful	0
368	435	ဘဝင်စိတ်ဟူသည်	bhavaငyacityahūsaññya	What is instinct?	2
369	437	ဣရိယာပုထ် ဘာကြောင့် ခိုင်နေရသလဲ ¿	iriyāputhya bhākaြောင’ya khiုငyanerasalaဲ ¿	Why is the adjective so strong?	1
370	438	အလွန်ရနိုင်ခဲသောအရာ	alhanyaraniုငyakhaဲsoarā	Very rare	1
371	439	ဝိတက် - ဝိစာရ	vitakya - vicāra	Vitak - Visara	2
372	441	ဝိတက်နှင့် ဝိစာရ အထူး	vitakyanaှင’ya vicāra athū”	Vitak and Visara special	0
373	441	ဒုကနိပါတ် အဋ္ဌကထာ၏ အဆို	dukanipātya aṭṭhakathā၏ achiု	According to the Eightfold Path of Dukanipada	1
374	442	တစ်နည်းဆိုရသော်	tacyanaññya”chiုrasoya	In other words	0
375	442	ပီတိ - သုခ	pīti - sukha	Piti - Thukha	1
376	443	ပီတိ - ငါးမျိုး	pīti - ငါ”maျို”	Ecstasy - five kinds	1
377	444	သုခ	sukha	Thank you	1
378	445	အင်္ဂါ ငါးပါးကို ပယ်၏	aṅgā ငါ”pā”kiု payya၏	The five elements are rejected.	1
379	446	အင်္ဂါငါးပါးနှင့် ပြည့်စုံ၏	aṅgāငါ”pā”naှင’ya paြñña’yacuṃ၏	It has five elements.	2
380	448	ကောင်းခြင်းသုံးဖြာ လက္ခဏာဆယ်ပါး	koငya”khaြငya”suṃ”phaြာ lakkhaṇāchayyapā”	The Ten Commandments of Goodness	3
381	451	ဈာန်ဟူသည်	jhānyahūsaññya	What is Jhan?	1
382	452	ကြာမြင့်စွာ တည်တံ့ ခိုင်ခံ့ရေး	kaြာmaြင’yachā taññyataṃ’ khiုငyakhaṃ’re”	Fri-term sustainability	2
383	454	အာဒိကမ္မိကပုဂ္ဂိုလ် လိုက်နာရမည့်စည်းကမ်း	ādikammikapuggiုlya liုkyanāramañña’yacaññya”kamya”	Rules to be followed by a person	0
384	454	ဝင်စားမှု များပါစေ၊ ဆင်ခြင်မှု နည်းပါစေ၊	vaငyacā”maှု maျာ”pāce， chaငyakhaြငyamaှု naññya”pāce，	Get more traffic. Be less thoughtful.	1
385	455	ဂါဝီဥပမာသုတ္တန် ကောက်နုတ်ချက်	gāvīupamāsuttanya kokyanutyakhaျkya	Gavi Example Sutta Excerpt	1
386	456	၀သီဘော် ငါးတန်	0sībhoya ငါ”tanya	Five tons of Wa Thi Baw	0
387	456	၁။ အာဝဇ္ဇန၀သီ	1． āvajjana0sī	1. Avajjanavathi	2
388	458	၂။ သမာပဇ္ဇန၀သီ	2． samāpajjana0sī	2. Sama Pazzanavathi	0
389	458	လျင်မြန်မှု စွမ်းအင်	laျငyamaြnyamaှု chamya”aငya	Speed ​​energy	1
390	459	၃။ အဓိဋ္ဌာန၀သီ	3． adhiṭṭhāna0sī	3. Vow	0
391	459	၄။ ဝုဋ္ဌာန၀သီ	4． vuṭṭhāna0sī	4. Vuttanavathi	1
392	460	၅။ ပစ္စဝေက္ခဏ၀သီ	5． paccavekkhaṇa0sī	5. I'm not sure what to do	1
393	461	ဒုတိယဇ္ဈာနကထာ	dutiyajjhānakathā	The second verse	1
394	462	ဝိတက် ဝိစာရ ချုပ်ငြိမ်းမှု	vitakya vicāra khaျုpyaငြိmya”maှု	Ceasefire	1
395	463	သဒ္ဓါနှင့် သမာဓိ	saddhānaှင’ya samādhi	Faith and concentration	2
396	465	ဝိတက် ဝိစာရ ပြုတ်ချိန်	vitakya vicāra paြုtyakhaျိnya	When to cook	1
397	466	တတိယဇ္ဈာနကထာ	tatiyajjhānakathā	The third verse	1
398	467	တတိယဈာန်ရသူ	tatiyajhānyarasū	Recipient of the third jhana	0
399	467	ဥပေက္ခကော စ ဝိဟရတိ	upekkhako ca viharati	Upekkha Kosa Viharati	1
